guild_name;server_number
4 Horsemen;386
7 Deadly Sins;944
42;646
Anomaly;699
Apex Predators;623
APEX THUNDER;349
Arise;944
ART;818
Black Templars;691
Brave;1000
Calakmul;462
EteCoffee Time;62
Covenant Brotherhood;781
Deutschland;1083
Dominion Gods;691
Dragon;841
Fearless Raiders;399
Force et Honneur;815
Fukuro;848
Golden Eagle;591
GRIM REAPERS;871
Guardians of Dominion;815
Guardians of Dream;923
Harbingers;476
Heroes Shield;858
Howling Wolves;402
JLC Brawlers;696
KingdoM;500
KUCE;907
La Cristiada;779
Legends;1054
LEON CORO;1027
Lions of Garuda;933
Lunar;590
LVBO;818
Might & Magic II;1085
Mother Earth Wings A;1027
Necsus of DarKness;877
NoJerk;941
Olympus;858
Phoenix;922
Phoenix of Darkness;313
Phoenix Rising;691
Plague;743
Quetta;869
Raven's Ark;944
RedRodger;561
Saiyajins;313
Semi-Croustillants;705
Singularity;699
SG Black Pearl;476
SG Diamond;476
Shamrock;634
Silver Crusaders;691
StrongHold;646
Sushi Master;1064
Swaggers GOATs;944
The Brewery;720
The Cartel;948
The Covenant;781
The Fellowship;319
The Infinite;308
Twist of Fate;912
Valhalla;835
Vibes;944
Wildfire;873
WinterForce;835
Wolves of Freedom;561
Wonkru;349
Newbie Knights;600
ABC;555
The Enders;634
Executioners Ants;41
Yggdrasil;184
Rebels;817
Dark Legend;131
The Horde;189
Void Walkers;110
Wildfire Faction;546
Unity;313
Slytherin;943
Wicked Dunamis;203
Psyko Snipers;584
KZQUAD;944
NEMESIS;1074
Yolomaly;699
Weird Vibes;312
Infinity;29
Sausage Shenanigans;2
Black Pearl;337
Haven Rises;60
Les Anges Noirs;62
FREY;184
Thebes;192
DBZ-Fighters;1104
Havoc;258
Inquisitors;974
Blue Star;255
Lets go Bowling;1003
M&M;1085
Les Kassos;33
Invictus;646
Cobra Kai;33
Uni Proelium;248
Nemesis;114
Frostwolves;257
Heroes of the 963th;963
Relax Knights;257
The Zenn-La Way;157
Pendragon;607
The Continental;116
The Wraiths;464
Kass'Co;33
Olympus;203
New Wolves;320
Lights;104
